what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1338813504244
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1338813504245
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1338813504245
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1338813504245
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1338813504246
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1338813504246
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1338813504247
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1338813504247
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1338813504247
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1338813504248
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1338813504249
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1338813504250
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1338813504250
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1338813504251
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1338813504252
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1338813504252
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1338813504255
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1338813504256
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1338813504256
started,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1338813504256
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1338813504256
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1338813504257
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1338813504257
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1338813504258
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1338813504258
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1338813504258
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1338813504259
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1338813504259
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1338813504260
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1338813504260
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1338813504261
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1338813504261
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1338813504262
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1338813504262
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1338813504263
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1338813504263
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1338813504264
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1338813504265
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1338813504265
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1338813504266
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1338813504266
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1338813504267
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1338813504267
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1338813504267
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1338813504268
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1338813504268
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1338813504269
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1338813504269
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338813504270
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1338813504270
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338813504270
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1338813504270
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1338813504271
started,bundle,org.cs3.jtransformer.copyclipboard,1.0.0.201105051736,"org.cs3.jtransformer.copyclipboard",1338813504283
started,bundle,org.cs3.pdt,0.2.3.201105051736,"org.cs3.pdt",1338813504313
started,bundle,org.cs3.pdt.runtime,0.2.3.201105051736,"org.cs3.pdt.runtime",1338813504323
started,bundle,org.cs3.pdt.runtime.ui,0.2.3.201105051736,"org.cs3.pdt.runtime.ui",1338813504350
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1338813504350
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1338813504351
os,sysinfo,,,"macosx",1338813504354
arch,sysinfo,,,"x86_64",1338813504354
ws,sysinfo,,,"cocoa",1338813504354
locale,sysinfo,,,"en_US",1338813504354
processors,sysinfo,,,"8",1338813504354
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338813504354
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3646",1338813504354
java.specification.name,sysinfo,,,"Java Platform API Specification",1338813504354
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338813504354
java.specification.version,sysinfo,,,"1.6",1338813504354
java.vendor,sysinfo,,,"Apple Inc.",1338813504354
java.version,sysinfo,,,"1.6.0_31",1338813504354
java.vm.info,sysinfo,,,"mixed mode",1338813504354
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1338813504354
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338813504354
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338813504354
java.vm.specification.version,sysinfo,,,"1.0",1338813504354
java.vm.vendor,sysinfo,,,"Apple Inc.",1338813504354
java.vm.version,sysinfo,,,"20.6-b01-415",1338813504354
